21E	3G	16B	4G	22G	21D	15C	10C	11E	3I	10A	14G	11G	12G	7G	17D	2E	18I	22A	23D	16G	1G	6G	8G	20G	7E	23H	13D	12D	17A	15I	15H	3C	14I	2F	7I	17G	14A	14C	15G	5I	4F	9G	9C	1I	19H	5E	6I	5G	10I	11H	21I	9H	14F	18G	8I	4I	13G	21C	13I	5H	16I	10G	2G	10H	2I	21G	7C	19E	23I	20H	12I	4A	21F	14H	16H	24I	23G	16F	3H	6D	24C	18H	12B	7H	1D	11A	6F	22H	18C	22I	24G	8D	13H	19G	6C	23A	3A	22C	19F	11I	18D	20I	7A	9B	17I	8C	22D	18A	2B	12H	6H	4H	24H	21H	17H	16C	14E	1F	19C	8H	19I	10B	2H	11C	1C	13F	8E	12E	1H	9F	15F	5A	19B	11F	24F	14D	11B	12C	24A
TaxVAMB_S10AC12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.751957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4323485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.945204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.440132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.981365	0.0	2.5285037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1880705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10AC49	16.331774	10.704702	0.0	0.78193104	1.5838226	2.1599667	1.4579091	45.739853	1.2788628	0.0	1.8710998	1.5253139	0.5937318	0.8174668	2.9043543	5.925936	0.0	0.0	1.9880424	8.576934	1.6992702	1.1381762	2.4995086	2.6542602	11.18656	40.11274	0.7396818	0.0	0.48478281	0.0	1.0978352	3.1336317	3.218415	3.4186995	0.76419127	2.3947675	0.7083596	0.0	21.395191	1.1472881	0.0	0.0	2.2737732	0.93054295	0.0	0.0	10.098357	0.798309	2.6286893	0.0	0.55496097	1.0849841	0.0	0.0	2.009978	0.6040744	0.7344492	0.5592533	1.7767954	0.0	2.5797513	0.0	1.2539703	0.5228229	0.0	0.38220504	1.0824369	12.045325	0.0	0.0	0.5775875	0.0	0.0	1.1016678	0.5961204	0.32593858	0.6646518	2.5561764	6.0490694	0.70491123	5.726647	24.92008	1.6747055	0.0	1.259958	0.0	4.1906967	4.644291	0.32934663	0.0	2.1631873	0.0	2.1229048	0.0	1.7983141	14.363925	4.969205	0.0	0.0	0.73923886	0.6781015	0.0	0.7234111	0.0	0.0	0.5293702	9.798754	3.6045191	0.0	12.637783	0.0	0.9114867	0.41708928	0.0	0.6972505	0.517252	7.1094565	0.3855166	0.49371615	1.4755601	0.7772107	0.32629323	13.086345	1.1531575	3.059599	10.869689	3.0802808	0.8526524	2.8267176	1.5183647	0.29906967	0.78708977	0.0	0.0	0.47897035	0.19949244	3.1025505	10.463608	0.0	0.0
TaxVAMB_S10AC68	0.0	6.372214	0.0	8.144558	3.3825965	0.0	0.0	0.0	0.0	32.166283	0.83003634	24.38137	24.47163	7.31819	3.7807598	0.0	0.0	37.71389	0.0	15.433252	16.642479	38.17024	22.798162	19.399315	4.1928706	0.0	36.107735	0.0	0.5706742	0.0	28.24779	6.246765	0.0	4.0171704	0.5744829	7.7740617	11.617625	0.0	0.0	12.327284	17.508223	9.394383	23.474613	0.0	15.979495	33.36191	0.8217645	28.135336	8.092538	12.508946	7.193457	21.03071	11.275147	0.0	16.298439	26.127201	14.953891	33.407475	3.4481256	10.617309	21.162693	22.104933	2.9714878	12.119145	0.9316023	8.249912	0.0	0.0	0.0	7.064759	8.655496	25.881582	0.0	0.0	1.9209646	20.944141	8.4058695	20.815876	1.5963687	4.300616	7.212196	0.0	19.00622	0.0	3.4314005	0.0	0.0	6.297505	13.396284	0.0	9.070841	3.1203523	6.7110124	5.561667	4.7969646	0.0	0.0	0.0	0.0	0.7503544	10.681449	0.0	5.531039	0.0	0.0	3.0780199	0.0	0.0	0.0	0.0	5.2356634	9.069882	2.9968948	2.0021772	3.7206595	7.9588904	0.0	0.0	0.5365573	0.0	8.179076	3.464522	0.0	1.4731611	1.0586872	10.708545	0.7755791	0.7777552	0.0	4.906561	0.6309577	0.0	0.0	0.0	0.0	1.2766703	0.0	0.0	0.0	0.0
TaxVAMB_S10AC81	7.3666472	5.025932	20.24139	11.599713	8.9342985	12.877132	3.158391	13.13938	73.6867	3.739057	35.839256	9.137461	20.04192	4.17045	6.2984056	8.233177	72.72863	2.0162547	2.1730323	9.002507	23.072786	19.717188	6.387327	6.44761	20.721434	17.519426	7.027338	11.989122	1.9191788	51.70912	15.7683325	14.893822	14.204648	23.412106	6.958304	17.391962	25.08624	31.257788	18.066269	12.151958	3.4373534	26.087227	15.569308	20.859846	22.673208	10.364993	20.381674	7.458615	8.425256	17.993586	27.227907	7.412366	7.650249	1.0447844	12.879185	7.695662	7.1134953	5.7043962	20.257061	13.657356	4.4836392	2.0442786	8.509096	7.8245792	8.261389	4.4413133	23.239075	40.636154	0.0	4.700934	12.668004	3.6072624	30.346855	23.046028	2.9095695	1.9221554	5.881205	9.353877	11.846285	6.284389	7.971098	1.3914703	6.2473116	0.0	6.204348	8.869401	0.0	3.6319525	5.2590775	23.818905	5.699868	11.374405	5.523156	13.266073	10.623149	5.7387013	0.0	42.52512	22.933022	25.49485	13.81741	4.8057337	7.7918124	40.393044	4.3696837	4.263215	5.237956	6.1459327	8.406186	19.959618	7.7002106	6.0007424	3.4747756	1.1332802	4.749684	12.743329	5.311818	0.86312467	9.02353	0.0	5.687509	3.7182012	5.8131094	5.2352233	4.5261817	7.971931	4.3346453	4.316122	10.415779	8.039603	0.75881815	4.421671	0.0	0.0	3.8623445	1.3082743	0.0	0.0	0.0	0.0
TaxVAMB_S10AC92	6.2824483	0.0	0.0	0.0	1.0547473	0.0	58.305946	0.0	0.0	0.0	14.181685	0.0	0.4873945	0.0	1.2235719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.563972	41.9784	0.0	0.40555483	0.4235607	0.0	0.9511322	0.0	0.70673496	0.0	0.0	0.0	2.096591	4.3341336	0.0	0.0	0.0	0.0	0.0	2.851492	1.6954979	1.2560536	1.6335788	1.5655545	10.133396	0.0	0.0	1.3042939	0.7536409	0.0	0.0	0.47464484	0.0	0.6312513	0.0	0.0	0.8994814	0.0	0.0	0.0	0.0	0.0	0.7147253	0.0	1.9172255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51302254	0.0	0.0	0.0	0.0	0.0	0.0	42.570805	0.0	0.0	0.0	4.9719167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38343903	0.0	0.6270198	0.0	0.0	0.40815103	0.0	0.0	0.0	0.0	0.0	1.3447355	0.0	0.0	0.0	0.0	0.0	0.0	2.210829	0.0	1.1164318	2.6600318	0.0	0.0	5.664139	0.0	0.0	9.536437	0.0	0.0	0.0	0.4075442	16.110914	0.0	0.0	0.0	2.1528356	0.0	0.0	0.0
TaxVAMB_S10BC365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.767067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.020607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10BC502	0.0	0.0	1.3949918	0.0	0.0	0.0	0.6247337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5038385	0.0	0.0	4.51573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7378259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.762219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10C1229	0.0	3.1569705	2.8063068	7.870843	1.7994068	0.0	1.697772	2.6871116	0.0	5.0880013	0.0	7.846038	7.720196	7.5123796	4.9394755	6.7951937	0.0	0.0	0.0	3.6363804	7.8089833	4.0992637	4.410221	3.7984958	4.4622817	2.1893468	6.456439	4.74121	4.563409	0.0	8.267667	6.9014506	0.0	9.365255	6.236122	11.4829035	6.9010935	0.0	5.7276707	8.570109	11.452193	18.065882	9.092982	4.4292293	7.0647354	5.0402007	14.990694	6.2623897	10.919524	10.119418	4.9817743	6.262712	9.5858	3.3391552	6.1382513	8.171825	14.2728195	10.638771	7.731186	11.865706	8.701501	9.255333	5.8047523	12.49909	15.220045	27.35222	4.507923	0.0	0.0	8.669728	11.028974	7.733884	0.0	4.105823	5.0183816	6.534722	10.165868	5.9969893	4.408575	7.4724827	6.398539	4.917316	6.314657	2.3878193	14.142517	13.010126	0.0	0.0	6.2763677	5.871441	8.993284	9.316021	11.991627	11.255935	10.486524	5.123562	0.0	0.0	2.4218369	5.141695	10.985496	11.748257	15.22282	0.0	0.0	14.540171	4.650698	9.479115	0.0	0.0	8.8893	6.6997476	11.495244	10.234047	11.448063	7.576826	11.3491335	4.1326632	6.0219617	6.702309	7.5270667	9.907461	0.0	15.400949	9.354269	0.0	8.200218	4.0172043	4.870543	5.194609	7.6673274	5.538657	0.0	0.0	4.4598927	7.7931266	4.4704285	0.0	0.0	0.0
TaxVAMB_S10C14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.465484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2112794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38888535	0.0	0.0	0.0	2.8643928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23253366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.502346	0.0	12.573581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1118295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TaxVAMB_S10C178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.316711	0.0	0.0	0.0	0.0	0.0	0.0	0.789237	0.0	0.0	0.0	0.0	2.0616896	0.0	0.88788664	0.8116342	0.9400939	13.150748	0.93319386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2334853	0.0	1.2740779	2.3806245	0.0	0.0	0.4879003	0.0	0.0	0.0	0.0	0.0	0.46319544	0.0	0.0	0.0	0.0	0.0	1.4856743	1.1527364	49.83969	0.0	0.0	0.0	0.0	2.1707187	0.0	0.0	0.0	0.62539715	0.0	0.0	0.0	1.9843524	0.0	52.527954	0.0	0.6447648	0.0	20.91728	2.0655634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8062883	0.0	0.0	0.0	0.0	0.0	1.5098379	0.0	0.70550716	1.1571312	0.0	0.0	2.727434	0.0	0.0	0.0	0.0	0.0	0.676868	0.0	0.71016854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3533025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
