	Sampling_date	Nr_on_field	Cultivar	Fungicide	unmapped_reads
21E	2022-06-21	21.0	Heerup	Sprayed	13.377357
3G	2022-07-04	3.0	Kvium	Sprayed	14.931356
16B	2022-06-10	16.0	Rembrandt	Sprayed	15.026278
4G	2022-07-04	4.0	Heerup	Sprayed	16.149818
22G	2022-07-04	22.0	Kvium	Sprayed	16.363918
21D	2022-06-17	21.0	Heerup	Sprayed	17.057346
15C	2022-06-14	15.0	Rembrandt	Unsprayed	22.542376
10C	2022-06-14	10.0	Heerup	Unsprayed	24.00883
11E	2022-06-21	11.0	Rembrandt	Unsprayed	24.062616
3I	2022-07-14	3.0	Kvium	Sprayed	24.642002
10A	2022-06-07	10.0	Heerup	Unsprayed	25.525969
14G	2022-07-04	14.0	Kvium	Unsprayed	26.097912
11G	2022-07-04	11.0	Rembrandt	Unsprayed	26.32718
12G	2022-07-04	12.0	Kvium	Unsprayed	27.195013
7G	2022-07-04	7.0	Heerup	Sprayed	27.22292
17D	2022-06-17	17.0	Heerup	Sprayed	27.24291
2E	2022-06-21	2.0	Heerup	Unsprayed	27.271372
18I	2022-07-14	18.0	Kvium	Sprayed	27.287876
22A	2022-06-07	22.0	Kvium	Sprayed	27.553856
23D	2022-06-17	23.0	Rembrandt	Sprayed	27.752155
16G	2022-07-04	16.0	Rembrandt	Sprayed	28.78551
1G	2022-07-04	1.0	Rembrandt	Unsprayed	29.15703
6G	2022-07-04	6.0	Kvium	Unsprayed	31.36254
8G	2022-07-04	8.0	Rembrandt	Sprayed	31.645859
20G	2022-07-04	20.0	Heerup	Unsprayed	32.818466
7E	2022-06-21	7.0	Heerup	Sprayed	34.484272
23H	2022-07-07	23.0	Rembrandt	Sprayed	34.846092
13D	2022-06-17	13.0	Heerup	Unsprayed	34.909515
12D	2022-06-17	12.0	Kvium	Unsprayed	35.010834
17A	2022-06-07	17.0	Heerup	Sprayed	35.090042
15I	2022-07-14	15.0	Rembrandt	Unsprayed	35.76433
15H	2022-07-07	15.0	Rembrandt	Unsprayed	36.01658
3C	2022-06-14	3.0	Kvium	Sprayed	36.420177
14I	2022-07-14	14.0	Kvium	Unsprayed	36.665756
2F	2022-06-28	2.0	Heerup	Unsprayed	37.196888
7I	2022-07-14	7.0	Heerup	Sprayed	37.601025
17G	2022-07-04	17.0	Heerup	Sprayed	38.14727
14A	2022-06-07	14.0	Kvium	Unsprayed	38.21144
14C	2022-06-14	14.0	Kvium	Unsprayed	38.45619
15G	2022-07-04	15.0	Rembrandt	Unsprayed	38.671272
5I	2022-07-14	5.0	Rembrandt	Sprayed	39.231796
4F	2022-06-28	4.0	Heerup	Sprayed	39.29473
9G	2022-07-04	9.0	Kvium	Sprayed	39.45421
9C	2022-06-14	9.0	Kvium	Sprayed	39.79382
1I	2022-07-14	1.0	Rembrandt	Unsprayed	40.287964
19H	2022-07-07	19.0	Rembrandt	Unsprayed	41.102036
5E	2022-06-21	5.0	Rembrandt	Sprayed	41.19873
6I	2022-07-14	6.0	Kvium	Unsprayed	41.936897
5G	2022-07-04	5.0	Rembrandt	Sprayed	42.26174
10I	2022-07-14	10.0	Heerup	Unsprayed	42.392075
11H	2022-07-07	11.0	Rembrandt	Unsprayed	42.64779
21I	2022-07-14	21.0	Heerup	Sprayed	42.65324
9H	2022-07-07	9.0	Kvium	Sprayed	42.70756
14F	2022-06-28	14.0	Kvium	Unsprayed	42.89727
18G	2022-07-04	18.0	Kvium	Sprayed	43.263374
8I	2022-07-14	8.0	Rembrandt	Sprayed	43.397522
4I	2022-07-14	4.0	Heerup	Sprayed	43.72934
13G	2022-07-04	13.0	Heerup	Unsprayed	43.801815
21C	2022-06-14	21.0	Heerup	Sprayed	44.43357
13I	2022-07-14	13.0	Heerup	Unsprayed	44.565796
5H	2022-07-07	5.0	Rembrandt	Sprayed	44.610363
16I	2022-07-14	16.0	Rembrandt	Sprayed	45.241577
10G	2022-07-04	10.0	Heerup	Unsprayed	45.653145
2G	2022-07-04	2.0	Heerup	Unsprayed	46.10731
10H	2022-07-07	10.0	Heerup	Unsprayed	46.250504
2I	2022-07-14	2.0	Heerup	Unsprayed	47.003372
21G	2022-07-04	21.0	Heerup	Sprayed	47.083324
7C	2022-06-14	7.0	Heerup	Sprayed	47.31852
19E	2022-06-21	19.0	Rembrandt	Unsprayed	47.472046
23I	2022-07-14	23.0	Rembrandt	Sprayed	47.595776
20H	2022-07-07	20.0	Heerup	Unsprayed	47.724968
12I	2022-07-14	12.0	Kvium	Unsprayed	48.339684
4A	2022-06-07	4.0	Heerup	Sprayed	48.73587
21F	2022-06-28	21.0	Heerup	Sprayed	48.84646
14H	2022-07-07	14.0	Kvium	Unsprayed	49.338
16H	2022-07-07	16.0	Rembrandt	Sprayed	49.461754
24I	2022-07-14	24.0	Kvium	Unsprayed	49.586113
23G	2022-07-04	23.0	Rembrandt	Sprayed	49.88491
16F	2022-06-28	16.0	Rembrandt	Sprayed	50.924408
3H	2022-07-07	3.0	Kvium	Sprayed	50.95842
6D	2022-06-17	6.0	Kvium	Unsprayed	51.00513
24C	2022-06-14	24.0	Kvium	Unsprayed	51.231598
18H	2022-07-07	18.0	Kvium	Sprayed	51.635857
12B	2022-06-10	12.0	Kvium	Unsprayed	51.966892
7H	2022-07-07	7.0	Heerup	Sprayed	52.34731
1D	2022-06-17	1.0	Rembrandt	Unsprayed	52.43381
11A	2022-06-07	11.0	Rembrandt	Unsprayed	53.2385
6F	2022-06-28	6.0	Kvium	Unsprayed	53.94815
22H	2022-07-07	22.0	Kvium	Sprayed	53.982662
18C	2022-06-14	18.0	Kvium	Sprayed	54.721355
22I	2022-07-14	22.0	Kvium	Sprayed	54.86587
24G	2022-07-04	24.0	Kvium	Unsprayed	54.97451
8D	2022-06-17	8.0	Rembrandt	Sprayed	55.02888
13H	2022-07-07	13.0	Heerup	Unsprayed	55.80369
19G	2022-07-04	19.0	Rembrandt	Unsprayed	55.833233
6C	2022-06-14	6.0	Kvium	Unsprayed	56.50158
23A	2022-06-07	23.0	Rembrandt	Sprayed	56.52845
3A	2022-06-07	3.0	Kvium	Sprayed	57.474876
22C	2022-06-14	22.0	Kvium	Sprayed	58.232452
19F	2022-06-28	19.0	Rembrandt	Unsprayed	58.89479
11I	2022-07-14	11.0	Rembrandt	Unsprayed	59.167133
18D	2022-06-17	18.0	Kvium	Sprayed	59.435688
20I	2022-07-14	20.0	Heerup	Unsprayed	59.501083
7A	2022-06-07	7.0	Heerup	Sprayed	59.606956
9B	2022-06-10	9.0	Kvium	Sprayed	60.141556
17I	2022-07-14	17.0	Heerup	Sprayed	60.31468
8C	2022-06-14	8.0	Rembrandt	Sprayed	60.99863
22D	2022-06-17	22.0	Kvium	Sprayed	61.56081
18A	2022-06-07	18.0	Kvium	Sprayed	62.042736
2B	2022-06-10	2.0	Heerup	Unsprayed	63.235527
12H	2022-07-07	12.0	Kvium	Unsprayed	64.25461
6H	2022-07-07	6.0	Kvium	Unsprayed	64.52387
4H	2022-07-07	4.0	Heerup	Sprayed	64.60124
24H	2022-07-07	24.0	Kvium	Unsprayed	64.99555
21H	2022-07-07	21.0	Heerup	Sprayed	65.05995
17H	2022-07-07	17.0	Heerup	Sprayed	65.18335
16C	2022-06-14	16.0	Rembrandt	Sprayed	65.51559
14E	2022-06-21	14.0	Kvium	Unsprayed	65.52519
1F	2022-06-28	1.0	Rembrandt	Unsprayed	65.64943
19C	2022-06-14	19.0	Rembrandt	Unsprayed	66.29477
8H	2022-07-07	8.0	Rembrandt	Sprayed	66.535034
19I	2022-07-14	19.0	Rembrandt	Unsprayed	66.947495
10B	2022-06-10	10.0	Heerup	Unsprayed	68.317726
2H	2022-07-07	2.0	Heerup	Unsprayed	69.38383
11C	2022-06-14	11.0	Rembrandt	Unsprayed	69.82297
1C	2022-06-14	1.0	Rembrandt	Unsprayed	70.44984
13F	2022-06-28	13.0	Heerup	Unsprayed	71.19551
8E	2022-06-21	8.0	Rembrandt	Sprayed	73.818275
12E	2022-06-21	12.0	Kvium	Unsprayed	73.82117
1H	2022-07-07	1.0	Rembrandt	Unsprayed	74.64851
9F	2022-06-28	9.0	Kvium	Sprayed	75.11756
15F	2022-06-28	15.0	Rembrandt	Unsprayed	76.53025
5A	2022-06-07	5.0	Rembrandt	Sprayed	83.889084
19B	2022-06-10	19.0	Rembrandt	Unsprayed	85.23912
11F	2022-06-28	11.0	Rembrandt	Unsprayed	87.677864
24F	2022-06-28	24.0	Kvium	Unsprayed	87.75543
14D	2022-06-17	14.0	Kvium	Unsprayed	88.48203
11B	2022-06-10	11.0	Rembrandt	Unsprayed	89.53639
12C	2022-06-14	12.0	Kvium	Unsprayed	96.524826
24A	2022-06-07	24.0	Kvium	Unsprayed	98.396126
