user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SemiBin_S0_SemiBin_0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915	GCF_024460475.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915	96.8	0.746	GCF_024460475.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp900556915	96.8	0.746	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014306155.1, s__Holdemanella hominis, 95.0, 96.26, 0.694; GCF_009696075.1, s__Holdemanella porci, 95.95, 96.1, 0.768; GCA_003436425.1, s__Holdemanella sp003436425, 95.0, 93.83, 0.685; GCF_934772795.1, s__Holdemanella sp934772795, 95.0, 92.61, 0.701; GCF_000156655.1, s__Holdemanella biformis, 95.0, 90.92, 0.623; GCA_938036765.1, s__Holdemanella sp900547815, 95.0, 90.61, 0.67; GCF_934754935.1, s__Holdemanella sp934754935, 95.0, 89.89, 0.654; GCF_900754615.1, s__Holdemanella sp900754615, 95.0, 89.81, 0.643; GCF_003458715.1, s__Holdemanella sp003458715, 95.0, 89.46, 0.608	92.97	11	N/A	N/A
SemiBin_S0_SemiBin_1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	GCF_000468015.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	98.11	0.8	GCF_000468015.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	98.11	0.8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000980705.1, s__Ruminococcus_C sp000980705, 95.0, 86.36, 0.352; GCF_020709055.1, s__Ruminococcus_C sp000437175, 95.0, 84.01, 0.177; GCA_934463425.1, s__Ruminococcus_C sp934463425, 95.0, 83.7, 0.294; GCA_900545285.1, s__Ruminococcus_C sp900545285, 95.0, 82.43, 0.151	97.54	11	N/A	N/A
SemiBin_S0_SemiBin_2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp902363575	GCA_902363575.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp902363575	98.47	0.936	GCA_902363575.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp902363575	98.47	0.936	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.88	11	N/A	N/A
SemiBin_S0_SemiBin_3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.55	0.842	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.55	0.842	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934247115.1, s__Coprococcus sp934247115, 95.0, 90.89, 0.6; GCF_025149915.1, s__Coprococcus eutactus, 95.0, 90.48, 0.456; GCA_900557435.1, s__Coprococcus sp900557435, 95.0, 89.67, 0.342; GCA_029338615.1, s__Coprococcus sp029338615, 95.0, 89.57, 0.416; GCA_900548315.1, s__Coprococcus sp900548315, 95.0, 89.47, 0.4; GCA_900767685.1, s__Coprococcus sp900767685, 95.24, 89.04, 0.383; GCA_934277375.1, s__Coprococcus sp934277375, 95.0, 88.78, 0.441; GCA_900548215.1, s__Coprococcus sp900548215, 95.0, 88.44, 0.383; GCA_934270935.1, s__Coprococcus sp934270935, 95.0, 87.44, 0.326; GCA_016297325.1, s__Coprococcus sp016297325, 95.0, 86.07, 0.306	94.12	11	N/A	N/A
SemiBin_S0_SemiBin_4	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	GCF_000173975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	98.99	0.879	GCF_000173975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	98.99	0.879	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_934307085.1, s__Anaerobutyricum sp934307085, 95.0, 89.45, 0.473; GCF_900209925.1, s__Anaerobutyricum soehngenii, 95.0, 86.79, 0.296; GCA_934317185.1, s__Anaerobutyricum sp934317185, 95.0, 84.3, 0.271	91.66	11	N/A	N/A
SemiBin_S1_SemiBin_0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp025992705	GCA_025992705.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp025992705	100.0	1.0	GCA_025992705.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp025992705	100.0	1.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003149935.1, s__QAMH01 sp003149935, 95.0, 94.72, 0.821; GCA_900756605.1, s__QAMH01 sp900756605, 96.03, 94.5, 0.717; GCA_902475535.1, s__QAMH01 sp900556425, 95.0, 94.48, 0.795; GCA_902493755.1, s__QAMH01 sp902493755, 95.0, 91.01, 0.698; GCA_902478425.1, s__QAMH01 sp902478425, 95.0, 87.18, 0.55; GCA_900544245.1, s__QAMH01 sp900544245, 95.0, 86.74, 0.507; GCA_959608885.1, s__QAMH01 sp959608885, 95.0, 86.33, 0.518; GCA_949879855.1, s__QAMH01 sp949879855, 95.0, 85.88, 0.414; GCA_948466335.1, s__QAMH01 sp948466335, 95.0, 85.18, 0.497	92.39	11	N/A	N/A
SemiBin_S1_SemiBin_1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	GCA_025757645.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	98.14	0.879	GCA_025757645.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp000432375	98.14	0.879	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 94.21, 0.797; GCA_934589185.1, s__CAG-103 sp934589185, 95.0, 94.01, 0.764; GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 93.52, 0.811; GCA_900543625.1, s__CAG-103 sp900543625, 95.0, 90.85, 0.717; GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 90.79, 0.765; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 90.48, 0.704; GCA_004556965.1, s__CAG-103 sp004556965, 95.0, 81.29, 0.161	97.64	11	N/A	N/A
SemiBin_S1_SemiBin_11	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	GCA_000435055.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.27	0.903	GCA_000435055.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.27	0.903	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937894955.1, s__PeH17 sp937894955, 95.0, 94.01, 0.846	90.78	11	N/A	N/A
SemiBin_S1_SemiBin_2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp003526845	GCA_003526845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp003526845	98.6	0.94	GCA_003526845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp003526845	98.6	0.94	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.5	11	N/A	N/A
SemiBin_S1_SemiBin_3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	GCA_000435055.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.26	0.916	GCA_000435055.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.26	0.916	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937894955.1, s__PeH17 sp937894955, 95.0, 94.01, 0.845	94.22	11	N/A	N/A
