user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1_1014	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235	GCA_003447235.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235	97.93	0.827	GCA_003447235.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp003447235	97.93	0.827	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.4	11	N/A	N/A
S1_1203	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.53	0.887	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.53	0.887	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.98	11	N/A	N/A
S1_1231	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp025992705	GCA_025992705.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp025992705	99.99	0.994	GCA_025992705.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__QAMH01 sp025992705	99.99	0.994	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003149935.1, s__QAMH01 sp003149935, 95.0, 94.75, 0.829; GCA_900756605.1, s__QAMH01 sp900756605, 96.03, 94.53, 0.698; GCA_902475535.1, s__QAMH01 sp900556425, 95.0, 94.5, 0.794; GCA_902493755.1, s__QAMH01 sp902493755, 95.0, 91.08, 0.677; GCA_902478425.1, s__QAMH01 sp902478425, 95.0, 87.3, 0.533; GCA_900544245.1, s__QAMH01 sp900544245, 95.0, 86.82, 0.492; GCA_959608885.1, s__QAMH01 sp959608885, 95.0, 86.08, 0.504; GCA_949879855.1, s__QAMH01 sp949879855, 95.0, 85.83, 0.405; GCA_948466335.1, s__QAMH01 sp948466335, 95.0, 85.16, 0.481	90.72	11	N/A	N/A
S1_12735	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absicoccus;s__Absicoccus sp000434355	GCA_003480165.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absicoccus;s__Absicoccus sp000434355	98.92	0.868	GCA_003480165.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absicoccus;s__Absicoccus sp000434355	98.92	0.868	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absicoccus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.03	11	N/A	N/A
S1_143	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	GCA_000432435.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	99.45	0.935	GCA_000432435.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	99.45	0.935	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022768065.1, s__Fimenecus sp022768065, 95.0, 90.4, 0.748; GCA_002437245.1, s__Fimenecus sp002437245, 95.0, 89.32, 0.731	87.83	11	N/A	N/A
S1_149	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1994;s__UMGS1994 sp900556975	GCA_900556975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1994;s__UMGS1994 sp900556975	97.79	0.856	GCA_900556975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1994;s__UMGS1994 sp900556975	97.79	0.856	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1994;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900553945.1, s__UMGS1994 sp900553945, 95.0, 94.92, 0.774; GCA_934149275.1, s__UMGS1994 sp934149275, 95.0, 93.93, 0.756; GCA_934149115.1, s__UMGS1994 sp934149115, 95.0, 83.46, 0.242; GCA_934130285.1, s__UMGS1994 sp934130285, 95.0, 82.97, 0.26	91.36	11	N/A	N/A
S1_1795	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp900539965	GCA_014610835.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp900539965	97.41	0.836	GCA_014610835.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp900539965	97.41	0.836	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934725105.1, s__Bulleidia sp934725105, 95.0, 93.34, 0.808	93.88	11	N/A	N/A
S1_1803	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900539375	GCA_900539375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900539375	98.6	0.845	GCA_900539375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900539375	98.6	0.845	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900317445.1, s__Clostridium sp900317445, 95.0, 93.73, 0.732; GCA_022785265.1, s__Clostridium sp022785265, 95.0, 89.74, 0.495; GCA_902785295.1, s__Clostridium sp902785295, 95.25, 88.81, 0.551	94.92	11	N/A	N/A
S1_2016	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900552455	GCA_900552455.1	95.0	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900552455	96.58	0.817	GCA_900552455.1	95.0	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__UMGS1590 sp900552455	96.58	0.817	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UMGS1590;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.49	11	N/A	N/A
S1_216	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	GCA_000436535.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	99.0	0.962	GCA_000436535.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	99.0	0.962	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000436475.1, s__Lachnospira sp000436475, 95.0, 85.61, 0.324; GCA_019424245.1, s__Lachnospira sp019424245, 95.0, 84.91, 0.216; GCA_934358235.1, s__Lachnospira sp934358235, 95.0, 84.74, 0.223; GCA_937902625.1, s__Lachnospira sp002435585, 95.0, 84.38, 0.261; GCA_900112995.1, s__Lachnospira pectinoschiza_A, 95.0, 83.27, 0.173	90.96	11	N/A	N/A
